Species,Selfing
Acanthogilia_gloriosa,0
Aliciella_caespitosa,0
Aliciella_hutchinsifolia,1
Aliciella_leptomeria,1
Aliciella_micromeria,1
Aliciella_subnuda,0
Allophyllum_divaricatum,0
Allophyllum_gilioides,1
Allophyllum_glutinosum,0
Allophyllum_integrifolium,1
Allophyllum_violaceum,1
Bonplandia_geminiflora,0
Cantua_buxifolia,0
Cantua_candelilla,0
Cantua_quercifolia,0
Cobaea_aequatoriensis,0
Cobaea_aschersoniana,0
Cobaea_campanulata,0
Cobaea_lutea,1
Cobaea_minor,0
Cobaea_penduliflora,0
Cobaea_rotundiflora,1
Cobaea_scandens,0
Cobaea_trianae,0
Collomia_grandiflora,0
Collomia_heterophylla,1
Collomia_linearis,1
Collomia_mazama,0
Collomia_rawsoniana,0
Collomia_tinctoria,1
Dayia_grantii,0
Eriastrum_densifolium,0
Eriastrum_eremicum,0
Eriastrum_luteum,0
Eriastrum_sapphirinum,0
Eriastrum_wilcoxii,1
Fouquieria_splendens,0
Gilia_achilleifolia,0
Gilia_aliquanta,1
Gilia_angelensis,0
Gilia_austrooccidentalis,1
Gilia_cana,0
Gilia_capitata,0
Gilia_clivorum,1
Gilia_clokeyi,1
Gilia_crassifolia,1
Gilia_diegensis,0
Gilia_inconspicua,1
Gilia_interior,1
Gilia_laciniata,1
Gilia_latiflora,0
Gilia_latiflora_ssp_davyi,0
Gilia_latiflora_ssp_elongata,0
Gilia_latiflora_ssp_latiflora,0
Gilia_leptantha,0
Gilia_leptantha_ssp_leptantha,0
Gilia_leptantha_ssp_pinetorum,0
Gilia_leptantha_ssp_purpusii,0
Gilia_malior,1
Gilia_mexicana,1
Gilia_millefoliata,1
Gilia_minor,1
Gilia_nevinii,1
Gilia_ochroleuca_ssp_bizonata,0
Gilia_ochroleuca_ssp_exilis,0
Gilia_ochroleuca_ssp_ochroleuca,1
Gilia_opthalmoides_ssp_flav,1
Gilia_sinuata,1
Gilia_stellata,1
Gilia_tenuiflora,0
Gilia_transmontana,1
Gilia_tricolor,0
Gilia_tweedyi,1
Gilia_valdiviensis,1
Giliastrum_foetidum,0
Giliastrum_incisum,1
Giliastrum_rigidulum,0
Gymnosteris_nudicaulis,1
Gymnosteris_parvula,1
Ipomopsis_aggregata_ssp_aggregata,0
Ipomopsis_aggregata_ssp_bridgesii,0
Ipomopsis_aggregata_ssp_candida,0
Ipomopsis_aggregata_ssp_formosissima,0
Ipomopsis_arizonica,0
Ipomopsis_congesta,0
Ipomopsis_congesta_ssp_congesta,0
Ipomopsis_gossypifera,1
Ipomopsis_guttata,0
Ipomopsis_longiflora,0
Ipomopsis_macombii,0
Ipomopsis_multiflora_ssp_multiflora,0
Ipomopsis_pinnata,0
Ipomopsis_polyantha,0
Ipomopsis_polycladon,1
Ipomopsis_pumila,1
Ipomopsis_roseata,1
Ipomopsis_rubra,0
Ipomopsis_tenuifolia,0
Ipomopsis_tenuituba,0
Ipomopsis_thurberi,0
Langloisia_punctata,0
Langloisia_setosissima,0
Leptosiphon_androsaceus,0
Leptosiphon_bicolor,0
Leptosiphon_breviculus,0
Leptosiphon_floribundus,1
Leptosiphon_grandiflorus,0
Leptosiphon_harknessii,1
Leptosiphon_liniflorus,0
Leptosiphon_nuttallii,0
Leptosiphon_parviflorus,0
Leptosiphon_septentrionalis,1
Linanthus_californicus,0
Linanthus_dianthiflorus,0
Linanthus_dichotomus,0
Linanthus_parryae,0
Loeselia_mexicana,0
Loeseliastrum_depressum,1
Loeseliastrum_matthewsii,0
Microgilia_minutiflora,1
Microsteris_gracilis,1
Navarretia_atractyloides,0
Navarretia_capillaris,1
Navarretia_hamata,0
Navarretia_leptalea,0
Navarretia_peninsularis,0
Navarretia_pubescens,0
Navarretia_squarrosa,1
Navarretia_subuligera,1
Navarretia_viscidula,0
Phlox_andicola,0
Phlox_caespitosa,0
Phlox_cuspidata,1
Phlox_diffusa,0
Phlox_divaricata,0
Phlox_drummondii,0
Phlox_glaberrima,0
Phlox_maculata,0
Phlox_multiflora,0
Phlox_nana,0
Phlox_paniculata,0
Phlox_pilosa,0
Phlox_roemeriana,0
Phlox_stansburyi,0
Phlox_stolonifera,0
Phlox_subulata,0
Polemonium_boreale,0
Polemonium_brandegei,0
Polemonium_caeruleum,0
Polemonium_californicum,0
Polemonium_confertum,0
Polemonium_delicatum,0
Polemonium_elegans,0
Polemonium_eximium,0
Polemonium_foliosissimum,0
Polemonium_mexicanum,1
Polemonium_micranthum,1
Polemonium_pauciflorum,0
Polemonium_pulcherrimum,0
Polemonium_reptans,0
Polemonium_viscosum,0
Saltugilia_australis,1
Saltugilia_caruifolia,0
Saltugilia_splendens_ssp_grantii,0
Saltugilia_splendens_ssp_splendens,0