name,pollination
species_1,0
species_2,0
species_3,0
species_4,0
species_5,0
species_6,0
species_7,0
species_8,0
species_9,1
species_10,0
species_11,1
species_12,0
species_13,0
species_14,1
species_15,1
species_16,1
species_17,1
species_18,0
species_19,1
species_20,0
species_21,1
species_22,1
species_23,1
species_24,0
species_25,0
species_26,0
species_27,0
species_28,0
species_29,0
species_30,0
species_31,0
species_32,0
species_33,0
species_34,0
species_35,0
species_36,1
species_37,1
species_38,1
species_39,1
species_40,1
species_41,1
species_42,1
species_43,1
species_44,1
species_45,1
species_46,0
species_47,0
species_48,0
species_49,1
species_50,0
species_51,0
species_52,0
species_53,1
species_54,1
species_55,0
species_56,0
species_57,0
species_58,0
species_59,0
species_60,1
species_61,0
species_62,0
species_63,0
species_64,0
species_65,0
species_66,0
species_67,0
species_68,1
species_69,0
species_70,1
species_71,0
species_72,1
species_73,1
species_74,1
species_75,1
species_76,1
species_77,1
species_78,1
species_79,1
species_80,1
species_81,1
species_82,1
species_83,1
species_84,1
species_85,1
species_86,1
species_87,1
species_88,1
species_89,0
species_90,0
species_91,1
species_92,0
species_93,0
species_94,0
species_95,0
species_96,0
species_97,0
species_98,0
species_99,0
species_100,0
species_101,0
species_102,0
species_103,0